Date,Open,High,Low,Close,Adj Close,Volume
2013-12-19,7.140000,7.260000,6.920000,7.000000,6.217846,43969420
2013-12-20,7.020000,7.100000,6.980000,7.060000,6.271142,41447562
2013-12-23,7.000000,7.020000,6.880000,6.920000,6.146786,30968229
2013-12-24,6.960000,7.040000,6.940000,6.980000,6.200082,25963303
2013-12-25,6.840000,6.900000,6.720000,6.720000,5.969132,36860809
2013-12-26,6.700000,6.760000,6.420000,6.460000,5.738184,31683097
2013-12-27,6.280000,6.500000,6.240000,6.480000,5.755949,30865341
2013-12-30,6.700000,6.960000,6.680000,6.960000,6.182316,39772083
2013-12-31,7.000000,7.100000,6.940000,6.960000,6.182316,19398674
2014-01-01,6.960000,6.960000,6.960000,6.960000,6.182316,0
2014-01-02,6.790000,6.810000,6.730000,6.800000,6.040195,23763027
2014-01-03,6.790000,6.810000,6.560000,6.600000,5.862541,44580237
2014-01-06,6.660000,6.970000,6.640000,6.940000,6.164551,57515715
2014-01-07,6.990000,7.060000,6.970000,7.010000,6.226729,62905793
2014-01-08,6.930000,6.940000,6.780000,6.780000,6.022429,52497226
2014-01-09,6.710000,6.740000,6.650000,6.670000,5.924719,38141318
2014-01-10,6.700000,6.870000,6.680000,6.870000,6.102373,57526360
2014-01-13,6.920000,6.920000,6.770000,6.770000,6.013546,62247293
2014-01-14,6.670000,6.830000,6.650000,6.830000,6.066842,58377270
2014-01-15,6.760000,6.830000,6.710000,6.740000,5.986897,99078653
2014-01-16,6.660000,6.700000,6.580000,6.600000,5.862541,49836281
2014-01-17,6.630000,6.630000,6.540000,6.540000,5.809245,51651990
2014-01-20,6.600000,6.620000,6.520000,6.550000,5.818128,29934073
2014-01-21,6.640000,6.850000,6.620000,6.710000,5.960250,76421388
2014-01-22,6.820000,6.900000,6.800000,6.900000,6.129020,40865987
2014-01-23,6.830000,6.850000,6.550000,6.550000,5.818128,70201683
2014-01-24,6.400000,6.510000,6.340000,6.400000,5.684888,86228152
2014-01-27,6.520000,6.570000,6.420000,6.440000,5.720419,101863980
2014-01-28,6.440000,6.440000,6.290000,6.290000,5.587179,53826874
2014-01-29,6.190000,6.220000,5.810000,5.990000,5.320700,130149991
2014-01-30,5.950000,6.180000,5.910000,6.130000,5.445057,77082535
2014-01-31,5.900000,6.000000,5.860000,5.960000,5.294052,69416937
2014-02-03,5.940000,5.960000,5.830000,5.840000,5.187461,46155299
2014-02-04,5.890000,6.080000,5.860000,6.080000,5.400644,60872381
2014-02-05,6.180000,6.230000,6.070000,6.080000,5.400644,64582654
2014-02-06,6.260000,6.460000,6.240000,6.460000,5.738184,81509842
2014-02-07,6.400000,6.510000,6.370000,6.440000,5.720419,78628244
2014-02-10,6.330000,6.400000,6.300000,6.330000,5.622710,49245692
2014-02-11,6.410000,6.460000,6.350000,6.400000,5.684888,63058727
2014-02-12,6.460000,6.460000,6.340000,6.340000,5.631593,49607392
2014-02-13,6.260000,6.300000,6.220000,6.240000,5.542766,28262195
2014-02-14,6.360000,6.430000,6.350000,6.410000,5.693771,49415505
2014-02-17,6.450000,6.540000,6.440000,6.500000,5.773715,35288337
2014-02-18,6.420000,6.460000,6.280000,6.290000,5.587179,56360946
2014-02-19,6.210000,6.220000,6.130000,6.200000,5.507236,47270757
2014-02-20,6.200000,6.260000,6.120000,6.250000,5.551649,50801382
2014-02-21,6.230000,6.270000,6.170000,6.250000,5.551649,42869769
2014-02-24,6.210000,6.310000,6.200000,6.290000,5.587179,39069458
2014-02-25,6.090000,6.100000,6.020000,6.030000,5.356230,42878248
2014-02-26,6.080000,6.080000,5.970000,5.990000,5.320700,53752120
2014-02-27,6.000000,6.090000,5.990000,6.040000,5.365114,31230674
2014-02-28,6.090000,6.140000,6.050000,6.060000,5.382878,40690607
2014-03-03,5.980000,6.000000,5.950000,5.970000,5.302935,25494932
2014-03-04,6.120000,6.180000,6.100000,6.180000,5.489470,30483630
2014-03-05,6.220000,6.300000,6.220000,6.240000,5.542766,35988467
2014-03-06,6.280000,6.330000,6.240000,6.290000,5.587179,47551064
2014-03-07,6.280000,6.300000,6.160000,6.190000,5.498353,39873302
2014-03-10,6.150000,6.180000,6.100000,6.180000,5.489470,30405383
2014-03-11,6.180000,6.210000,6.160000,6.190000,5.498353,27068446
2014-03-12,6.120000,6.320000,6.100000,6.310000,5.604945,58383943
2014-03-13,6.380000,6.400000,6.350000,6.380000,5.667123,37876250
2014-03-14,6.390000,6.470000,6.350000,6.430000,5.711537,33737634
2014-03-17,6.490000,6.520000,6.460000,6.480000,5.755949,22777717
2014-03-18,6.570000,6.820000,6.550000,6.800000,6.040195,51284801
2014-03-19,6.720000,6.870000,6.700000,6.780000,6.022429,54326402
2014-03-20,6.740000,6.880000,6.710000,6.720000,5.969132,50534932
2014-03-21,6.620000,6.670000,6.600000,6.620000,5.880306,23074165
2014-03-24,6.630000,6.640000,6.480000,6.480000,5.755949,31853665
2014-03-25,6.580000,6.710000,6.580000,6.680000,5.933602,51285705
2014-03-26,6.930000,7.120000,6.930000,7.090000,6.297791,72596502
2014-03-27,7.120000,7.150000,7.030000,7.110000,6.315556,74023318
2014-03-28,7.330000,7.620000,7.310000,7.530000,6.688627,57990059
2014-03-31,7.670000,7.690000,7.250000,7.320000,6.502091,80145496
2014-04-01,7.470000,7.670000,7.460000,7.610000,6.759688,59939466
2014-04-02,7.660000,7.760000,7.570000,7.590000,6.741922,55436396
2014-04-03,7.680000,7.700000,7.560000,7.560000,6.715275,53229739
2014-04-04,7.630000,7.870000,7.620000,7.860000,6.981754,83798320
2014-04-07,7.810000,7.860000,7.750000,7.810000,6.937341,49033016
2014-04-08,7.970000,8.150000,7.940000,8.080000,7.177172,63633175
2014-04-09,7.960000,8.010000,7.840000,7.850000,6.972871,43468090
2014-04-10,7.900000,7.950000,7.830000,7.940000,7.052814,44252815
2014-04-11,7.840000,7.920000,7.770000,7.880000,6.999519,48905342
2014-04-14,7.800000,8.000000,7.800000,7.970000,7.079463,56764458
2014-04-15,8.060000,8.080000,7.790000,7.800000,6.928457,66227632
2014-04-16,7.850000,7.890000,7.790000,7.820000,6.946223,33801545
2014-04-17,7.850000,7.970000,7.840000,7.950000,7.061697,42991108
2014-04-18,7.940000,7.980000,7.920000,7.940000,7.052814,15129446
2014-04-21,7.850000,7.880000,7.840000,7.860000,7.071881,13929618
2014-04-22,7.830000,7.870000,7.780000,7.790000,7.008900,37108807
2014-04-23,7.790000,7.790000,7.790000,7.790000,7.008900,0
2014-04-24,7.760000,7.760000,7.540000,7.550000,6.792964,61457372
2014-04-25,7.390000,7.400000,7.280000,7.310000,6.577030,57978188
2014-04-28,7.430000,7.530000,7.360000,7.500000,6.747978,43518913
2014-04-29,7.580000,7.600000,7.390000,7.400000,6.658005,46105639
2014-04-30,7.600000,7.790000,7.600000,7.730000,6.954916,70089524
2014-05-01,7.730000,7.730000,7.730000,7.730000,6.954916,0
2014-05-02,8.000000,8.090000,7.920000,8.080000,7.269822,55986371
2014-05-05,8.070000,8.120000,7.970000,8.040000,7.233832,44703334
2014-05-06,8.050000,8.150000,8.050000,8.100000,7.287817,42153872
2014-05-07,8.100000,8.140000,7.990000,8.050000,7.242830,56240839
2014-05-08,8.200000,8.270000,8.150000,8.190000,7.368791,76078715
2014-05-09,8.210000,8.300000,8.170000,8.300000,7.467762,42319827
2014-05-12,8.440000,8.470000,8.360000,8.440000,7.593724,34478464
2014-05-13,8.410000,8.420000,8.320000,8.330000,7.494754,35350852
2014-05-14,8.320000,8.340000,8.250000,8.270000,7.440772,29564450
2014-05-15,8.360000,8.370000,8.140000,8.140000,7.323806,39537373
2014-05-16,8.100000,8.150000,8.040000,8.060000,7.251828,37680766
2014-05-19,8.060000,8.060000,8.060000,8.060000,7.251828,0
2014-05-20,8.080000,8.120000,8.030000,8.120000,7.305811,33812168
2014-05-21,8.310000,8.380000,8.280000,8.380000,7.539741,28827737
2014-05-22,8.380000,8.600000,8.280000,8.560000,7.701692,115322224
2014-05-23,8.570000,8.570000,8.460000,8.520000,7.665704,39217453
2014-05-26,8.610000,8.670000,8.570000,8.670000,7.800662,28684444
2014-05-27,8.570000,8.570000,8.440000,8.460000,7.611719,37745912
2014-05-28,8.570000,8.610000,8.410000,8.420000,7.575730,56374321
2014-05-29,8.560000,8.590000,8.500000,8.570000,7.710690,40891518
2014-05-30,8.600000,8.650000,8.550000,8.550000,7.692695,39027800
2014-06-02,8.560000,8.610000,8.380000,8.410000,7.566733,40366699
2014-06-03,8.460000,8.470000,8.380000,8.430000,7.584728,43343209
2014-06-04,8.430000,8.440000,8.300000,8.310000,7.476760,36905044
2014-06-05,8.390000,8.710000,8.370000,8.620000,7.755676,94424191
2014-06-06,8.650000,8.700000,8.610000,8.670000,7.800662,37522308
